player_id,full_name,age,height,years_exp,team,position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11589,Trey Benson,22.0,73,0.0,ARI,RB,2.3,2.2,0.8,5.0,0.0,2.6,0.0,1.0,12.0,9.7,0.0,1.8,0.0,0.0,0.0,0.0,0.0
11592,Erick All,24.0,77,0.0,CIN,TE,0.0,5.2,4.2,4.8,2.0,2.0,0.0,4.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11595,Jared Wiley,24.0,78,0.0,KC,TE,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11596,Ben Sinnott,22.0,76,0.0,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11597,Theo Johnson,23.0,78,0.0,NYG,TE,2.3,0.0,1.8,1.1,7.3,4.5,0.0,5.0,12.6,5.7,0.0,5.4,7.9,0.0,0.0,0.0,0.0
11599,Cade Stover,24.0,76,0.0,HOU,TE,0.0,2.3,0.0,3.2,1.6,0.0,2.0,2.9,0.0,0.7,2.5,10.1,0.0,0.0,0.0,0.0,0.0
11600,Ja'Tavion Sanders,21.0,76,0.0,CAR,TE,0.9,1.8,0.0,2.6,2.8,7.4,9.1,1.2,10.7,7.8,0.0,6.4,0.0,0.0,0.0,0.0,0.0
11603,AJ Barner,22.0,78,0.0,SEA,TE,,,,,1.8,1.8,1.0,4.4,4.7,0.0,2.5,3.4,0.0,0.0,0.0,0.0,0.0
11604,Brock Bowers,21.0,76,0.0,LV,TE,8.8,14.3,5.6,4.1,19.7,11.6,14.3,8.3,13.0,0.0,24.8,5.8,25.2,0.0,0.0,0.0,0.0
11605,Jaheim Bell,23.0,74,0.0,NE,TE,0.0,0.0,0.0,,,,,,,,,,,,,,
11610,Malik Washington,23.0,68,0.0,MIA,WR,0.0,0.0,0.0,1.3,0.0,0.0,1.9,0.0,0.9,10.0,3.3,0.8,-0.2,0.0,0.0,0.0,0.0
11617,Malachi Corley,22.0,71,0.0,NYJ,WR,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0
11618,Jalen McMillan,22.0,73,0.0,TB,WR,9.7,2.6,1.1,0.0,0.0,0.0,4.1,7.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
11619,Ja'Lynn Polk,22.0,73,0.0,NE,WR,1.1,8.2,2.3,4.5,1.8,0.9,0.0,0.0,0.0,6.7,0.0,1.2,0.0,0.0,0.0,0.0,0.0
11620,Rome Odunze,22.0,75,0.0,CHI,WR,1.6,4.3,20.4,1.5,6.5,5.0,0.0,6.9,12.9,3.8,9.5,6.4,3.5,0.0,0.0,0.0,0.0
11621,Brenden Rice,22.0,75,0.0,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11623,Jordan Whittington,24.0,73,0.0,LAR,WR,0.0,3.2,4.3,9.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11624,Xavier Worthy,21.0,71,0.0,KC,WR,19.8,3.2,4.0,14.8,10.3,0.0,3.9,11.7,-1.0,1.6,14.8,7.1,7.9,0.0,0.0,0.0,0.0
11625,Adonai Mitchell,22.0,74,0.0,IND,WR,0.7,3.5,0.0,1.0,7.16,1.9,4.0,1.4,2.7,10.1,4.0,1.5,0.0,0.0,0.0,0.0,0.0
11626,Xavier Legette,23.0,75,0.0,CAR,WR,5.5,0.0,5.2,16.6,1.3,9.8,1.9,11.4,11.9,5.5,0.0,7.6,0.0,0.0,0.0,0.0,0.0
11627,Troy Franklin,21.0,75,0.0,DEN,WR,0.0,0.0,2.1,0.8,2.5,10.6,7.5,1.4,2.4,1.4,8.5,4.1,0.0,0.0,0.0,0.0,0.0
11628,Marvin Harrison,22.0,76,0.0,ARI,WR,0.9,27.0,14.9,13.0,4.6,0.0,3.6,20.1,2.4,13.9,0.0,6.2,0.0,0.0,0.0,0.0,0.0
11629,Devontez Walker,23.0,73,0.0,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11630,Roman Wilson,23.0,70,0.0,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11631,Brian Thomas,22.0,74,0.0,JAX,WR,12.7,10.4,7.3,18.9,20.7,4.2,19.6,13.5,5.2,2.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0
11632,Malik Nabers,21.0,72,0.0,NYG,WR,9.1,23.7,24.2,17.1,0.0,0.0,6.1,10.6,10.4,7.8,0.0,9.4,11.3,0.0,0.0,0.0,0.0
11635,Ladd McConkey,23.0,72,0.0,LAC,WR,12.4,3.6,5.9,15.2,0.0,6.3,7.1,26.1,8.9,6.2,15.3,11.3,0.0,0.0,0.0,0.0,0.0
11636,Johnny Wilson,23.0,78,0.0,PHI,WR,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
11637,Keon Coleman,21.0,76,0.0,BUF,WR,7.1,0.0,8.9,6.6,11.4,4.1,14.5,15.5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11638,Ricky Pearsall,24.0,75,0.0,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.7,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
